,distance,pref_speed
169,156919.40949567984,97.51620474784343
163,155289.0129699881,95.83800648499589
152,172206.50390280542,103.67425195140393
161,171868.36278171945,97.65918139085831
160,166643.90986208362,96.6059549310446
159,161901.23480310998,99.46261740155221
158,176168.52060107316,100.48476030053439
157,162964.97808431077,98.20098904215435
156,164665.38260876882,97.4151913043853
155,159008.8441740003,103.58392208699985
154,150510.4298929688,93.0277149464872
153,177577.9948557616,103.16649742787867
174,162304.43400470848,95.25071700235368
162,162029.38024989585,92.84919012494517
175,170704.8594668672,93.19492973343125
199,154142.93006956737,103.9214650347844
177,163992.95623136355,99.74747811568041
151,168244.32963256908,97.55066481628435
198,167620.42454552068,94.56571227275815
197,167757.90594369185,101.93195297184282
196,161804.73767385056,90.05586883692538
195,163659.57527890496,101.3977876394525
194,171283.00107746077,98.57900053873092
193,160912.1026947526,93.49355134737911
192,167164.78750558937,97.8968937527917
191,168739.00745164737,96.17050372582577
190,165326.40991556123,98.08520495777985
176,153574.30621679634,95.83415310840019
189,166088.26265851772,93.56563132926178
187,173215.66288181258,105.7128314409091
186,159718.08400024477,96.39704200012213
185,163343.99786658745,97.76649893329451
184,171229.05249617164,101.41752624808639
183,163026.72831164097,93.0408641558191
182,154203.65652773948,95.35082826386878
181,143390.30038242738,94.23715019121505
180,158945.2391401621,102.34311957007955
179,167145.00805647403,103.87750402824129
178,161273.95473858723,98.8289773692913
188,173495.70772126515,99.0563538606342
150,160784.56761161797,98.60978380580774
149,168978.56013811534,95.68928006906147
148,166530.83763739438,102.24541881869874
121,153558.6631695157,101.58833158475521
120,165663.5192641509,93.1872596320755
119,160714.22022777933,100.6076101138895
118,170964.11145304426,97.77255572652243
117,167098.52912943365,96.58576456471457
116,172097.0928776704,97.21604643883467
115,175938.06798051862,100.34653399025706
114,161792.28511789805,94.99064255895063
113,164714.80185510535,101.18290092755056
112,169846.10386590988,97.39205193295523
111,162680.00149411988,96.14350074705823
110,168723.01321074282,97.24600660537247
109,167202.90762248109,103.76895381124075
108,161535.99641768308,104.14149820884114
107,164756.13434161595,98.42106717080907
106,171608.4650763733,105.08373253818527
105,158476.17499231835,94.46008749616041
104,158615.10888840348,90.3075544442025
103,168868.0050544005,108.43050252720059
102,164877.36202978474,96.07618101489322
101,166663.7597503223,98.44937987516369
122,160469.05556388776,93.58702778194436
123,157067.54771636336,92.62127385818174
100,170689.79227730611,102.22539613865234
125,175514.7530936956,105.5633765468496
124,171220.8564696713,105.97892823483592
147,170555.4916124279,99.0007458062173
146,165493.31940550436,102.5561597027536
145,176968.47374862636,102.15673687431504
144,171010.13684420643,104.93706842210659
143,159188.24288855208,106.6951214442743
142,161288.36572291248,97.46818286145768
140,163752.41578547633,110.32870789273669
139,163831.50714969178,105.37725357484985
138,174871.59785392776,105.724298926963
137,172636.216207722,103.74810810385982
141,160326.0733979785,96.9520366989904
135,167947.03402554037,101.03151701276818
134,169126.65989390478,101.69782994695186
133,173119.3260225787,104.20516301128839
126,162822.4746244564,100.03973731222628
132,158145.19463628338,89.95059731814241
131,171232.67386720722,96.66383693360126
130,159187.4730202641,94.07723651012935
129,158995.92217545473,101.8799610877269
128,155582.80175317722,93.94440087659214
127,169023.12253614378,97.51906126806819
136,166201.0730769356,98.22803653847045
335,97792.59425902137,99.45379712951096
334,121129.74846881094,97.12337423440742
333,125750.03411395587,99.00601705697915
328,112069.09216656216,99.49454608327908
331,109027.14925553223,102.67707462776869
330,105400.68446225728,97.6398422311272
329,104851.67483042061,100.4603374152103
336,108661.0833564642,100.03054167823012
332,104870.77599074424,99.577887995371
337,84590.85580308172,101.66892790154064
348,130956.39814442836,98.65319907221402
339,124612.5574370569,98.8882787185283
340,112908.2346927333,99.25461734636731
341,94444.7643262916,99.601382163145
342,102317.62731150287,100.15331365575032
343,126118.29249023004,104.36964624511272
344,126736.72929857855,101.46486464929178
345,112398.19534678632,101.87409767339234
346,140189.31498940266,100.72815749470301
347,107166.99772121612,98.50199886061037
327,95573.34867346547,99.76867433673034
338,115360.18468284378,102.15509234142283
326,86441.93598852992,100.97196799426617
314,125331.407873236,101.28870393661926
324,128933.39407590407,96.98369703794965
349,118310.69287994706,100.12884643997607
302,96741.59872083591,99.42779936041718
303,102799.49535252634,101.55324767626381
304,116387.06028379271,103.08153014189875
305,121537.82919500467,99.73391459750549
306,75652.86200430465,96.55143100215152
307,123297.80447190808,101.68040223595169
308,108295.81431526931,99.24790715763321
309,106216.14796834455,101.51407398417015
310,110957.04687520175,103.23152343760259
325,107344.61801623767,100.1467139755512
311,113002.69916559396,97.04834958279888
313,73008.4105722062,101.09720528610217
315,120559.62242016103,98.91081121008207
316,104613.494031703,99.47524701585036
317,126358.59860887154,100.36279930443679
318,130028.30853881704,103.34765426940695
319,129610.9849595931,100.2844924797948
320,95773.03308417242,99.24301654208689
321,97187.50892086585,101.50775446043478
