,braking_chance,Run,Avg Speed
173,0.6,173,60.777728587245264
174,0.6,174,59.673102441769124
175,0.7,175,34.86166950359486
176,0.7,176,31.966191558529435
177,0.7,177,34.29305803634594
178,0.7,178,28.095868258909167
179,0.7,179,31.117427319231194
180,0.7,180,28.751039011465775
181,0.7,181,26.111606367737192
182,0.7,182,28.405276805398735
183,0.7,183,25.27904730081143
184,0.7,184,31.27309788502462
185,0.7,185,32.073715950597425
186,0.7,186,28.302348045650128
187,0.7,187,28.28792132393143
188,0.7,188,24.338067037103755
189,0.7,189,29.551582100510785
190,0.7,190,28.784295250550784
191,0.7,191,26.17832524564838
192,0.7,192,29.258708699848327
193,0.7,193,30.66219325499713
194,0.7,194,27.805589309906445
195,0.7,195,32.638837839149815
196,0.7,196,29.182529855692575
197,0.7,197,29.251999113233236
